day,usage
2013-01-01,3
2013-01-10,12
2013-03-04,0
2013-05-31,1
2013-07-12,282
2013-09-08,214
2013-10-11,11522
2013-11-16,8731
2013-12-27,17044
2014-03-27,200
2014-03-28,19028
2014-07-01,26899
2014-07-08,6458
2014-09-28,49439
2014-10-18,13624
2014-12-30,3300
2015-01-26,18254
2015-03-22,23491
2015-06-09,4645
2015-07-01,24181
2015-08-19,828
2015-10-01,15346
2015-12-31,9600
2016-02-07,900
2016-03-11,15615
2016-05-20,605
2016-07-01,17713
2016-07-29,714
2016-10-05,13192
2016-11-05,4
2017-01-04,13039
2017-03-04,287
2017-04-03,17417
2017-06-25,3996
2017-07-17,15475
2017-10-09,3421
2017-11-10,13007
2018-01-27,1300
2018-01-29,10831
2018-03-22,4534
2018-05-30,20745
2018-07-12,1401
2018-08-24,20506
2018-10-09,4302
2018-12-12,371
2019-02-09,21106
2019-03-13,8327
2019-06-09,998
2019-06-14,20308
2019-08-02,20620
