day,usage
2013-01-01,1075
2013-01-03,1363
2013-03-17,1655
2013-04-21,1206
2013-06-28,638
2013-08-05,4134
2013-10-12,419
2013-10-31,3698
2014-01-26,9580
2014-02-17,126
2014-05-15,29585
2014-05-19,1978
2014-07-18,30719
2014-08-27,4383
2014-11-11,24953
2014-12-18,504
2015-01-25,14423
2015-03-20,6260
2015-06-12,804
2015-07-16,13463
2015-08-18,2448
2015-10-31,10780
2015-12-03,399
2016-01-09,3746
2016-04-14,136
2016-05-04,3609
2016-06-28,961
2016-08-12,370
2016-10-31,8610
2016-11-04,4152
2016-12-31,4920
2017-03-13,503
2017-04-02,3385
2017-06-29,2187
2017-08-12,307
2017-08-31,3331
2017-10-31,6686
2017-12-24,1400
2018-01-28,3072
2018-05-04,3595
2018-06-22,1609
2018-07-07,6764
2018-09-06,1403
2018-10-31,6051
2018-11-30,8069
2019-01-27,763
2019-03-14,4188
2019-06-02,3591
2019-07-17,5522
2019-08-02,4449
