day,usage
2013-01-01,14569
2013-02-04,122040
2013-02-21,3865
2013-04-26,18384
2013-07-05,4287
2013-08-31,130184
2013-09-11,14694
2013-11-30,72268
2014-02-02,145759
2014-02-07,7115
2014-05-09,39327
2014-05-18,7898
2014-08-19,8791
2014-09-07,152628
2014-10-15,11659
2015-01-18,63018
2015-02-02,168172
2015-03-14,7970
2015-06-21,1141
2015-06-22,9597
2015-09-13,96514
2015-09-30,10193
2015-11-28,41105
2016-02-07,97067
2016-02-27,5456
2016-04-29,19163
2016-07-05,4719
2016-09-03,73207
2016-09-14,4851
2016-11-26,35366
2017-02-06,110975
2017-02-11,5613
2017-04-28,14729
2017-05-29,3311
2017-08-25,19796
2017-09-10,49409
2017-10-25,6262
2018-01-21,27568
2018-02-05,66310
2018-03-19,3281
2018-06-18,3156
2018-08-10,15258
2018-09-09,46239
2018-10-10,4254
2018-11-24,20434
2019-02-03,59286
2019-03-04,4100
2019-04-26,11310
2019-08-01,10500
2019-08-02,824
