day,usage
2013-01-01,29411
2013-01-03,45331
2013-04-05,28987
2013-05-30,5055
2013-06-04,45501
2013-08-15,13848
2013-09-18,50738
2013-11-21,21800
2014-02-04,6720
2014-02-06,51596
2014-05-02,24636
2014-07-01,5508
2014-07-08,59541
2014-09-06,46713
2014-11-07,900
2014-12-04,52293
2015-02-04,18020
2015-03-25,62845
2015-06-09,10295
2015-06-23,55965
2015-09-06,45413
2015-10-11,33192
2015-11-19,54109
2016-01-31,41947
2016-03-10,1080
2016-04-19,48853
2016-07-18,6070
2016-07-26,53076
2016-09-20,3086
2016-11-09,50219
2017-02-03,2140
2017-02-14,37289
2017-05-03,39109
2017-06-10,4515
2017-07-13,35166
2017-09-18,14010
2017-10-22,31313
2018-01-01,19721
2018-01-31,28853
2018-03-25,24003
2018-06-21,36145
2018-07-22,8549
2018-08-16,28926
2018-11-19,10600
2018-11-24,31679
2019-02-15,43090
2019-04-14,26986
2019-05-15,3734
2019-07-03,60919
2019-08-02,2025
