day,usage
2013-01-01,2134
2013-01-14,3993
2013-02-23,2636
2013-05-15,4453
2013-06-15,2657
2013-08-28,658
2013-09-22,7583
2013-11-28,29
2014-01-05,4483
2014-03-16,6505
2014-04-05,310
2014-06-23,13110
2014-08-02,1220
2014-09-28,12805
2014-11-14,1890
2014-12-31,8862
2015-03-08,1275
2015-03-21,6866
2015-06-09,878
2015-06-24,6953
2015-09-13,9514
2015-11-16,777
2015-12-14,11567
2016-01-08,5015
2016-03-31,3149
2016-05-29,825
2016-06-08,5623
2016-09-02,842
2016-09-27,11730
2016-11-05,90
2016-12-31,11020
2017-03-22,1000
2017-04-11,7574
2017-06-27,10606
2017-08-02,551
2017-09-12,10935
2017-11-19,11261
2018-01-03,4600
2018-03-03,8728
2018-03-25,6416
2018-05-08,9929
2018-07-01,5875
2018-09-12,13506
2018-10-13,6004
2018-12-07,18386
2019-01-13,31393
2019-03-07,1874
2019-05-12,19862
2019-06-17,10251
2019-08-02,11651
