day,usage
2013-01-01,7440
2013-02-15,1300
2013-02-21,11522
2013-05-12,16615
2013-06-01,4561
2013-07-22,41907
2013-09-09,11999
2013-12-04,7600
2013-12-25,23158
2014-02-22,13000
2014-05-11,770
2014-05-18,16676
2014-07-16,20958
2014-10-08,11216
2014-11-26,400
2014-12-25,26084
2015-02-27,1600
2015-03-15,20232
2015-05-10,782
2015-07-17,14027
2015-08-29,2880
2015-10-12,11136
2015-11-20,4724
2016-01-23,18411
2016-03-28,2524
2016-06-03,537
2016-06-07,8007
2016-09-12,9051
2016-09-21,6896
2016-11-14,8896
2017-01-05,1938
2017-02-14,7959
2017-04-18,1579
2017-06-01,8924
2017-08-22,1626
2017-09-01,9639
2017-11-05,1100
2018-01-10,12214
2018-01-29,5000
2018-04-23,11063
2018-06-26,359
2018-08-01,14100
2018-08-18,7741
2018-10-15,10389
2018-12-19,400
2019-01-13,15547
2019-04-15,1448
2019-04-30,14440
2019-07-19,4625
2019-08-02,10898
