day,usage
2013-01-01,90569
2013-01-03,17100
2013-03-01,45335
2013-05-23,4144
2013-06-01,36781
2013-07-23,1343
2013-09-13,49988
2013-12-15,7908
2013-12-31,91367
2014-02-13,300
2014-04-04,51714
2014-07-05,1648
2014-07-07,78620
2014-08-26,3718
2014-11-11,76597
2014-12-07,2290
2015-02-01,72300
2015-03-27,2100
2015-05-25,66495
2015-07-02,6870
2015-08-15,54473
2015-10-02,3093
2015-12-31,98100
2016-01-10,580
2016-03-01,61291
2016-05-30,1946
2016-07-06,60236
2016-08-03,7962
2016-10-29,1751
2016-11-03,47777
2016-12-31,92931
2017-02-17,9416
2017-05-16,3736
2017-06-01,38742
2017-08-03,1412
2017-09-01,44880
2017-12-02,7148
2018-01-01,83748
2018-01-30,8482
2018-03-21,31860
2018-06-15,39611
2018-07-24,11592
2018-08-21,38167
2018-11-15,8300
2019-01-01,85457
2019-01-24,6900
2019-03-08,38064
2019-06-05,2950
2019-06-14,35555
2019-08-02,34712
