day,usage
2013-01-01,0
2013-01-02,0
2013-02-21,0
2013-04-12,0
2013-06-01,0
2013-07-21,0
2013-09-09,0
2013-10-29,0
2013-12-18,0
2014-02-06,0
2014-03-28,0
2014-05-17,0
2014-07-06,0
2014-08-25,0
2014-10-14,0
2014-12-03,0
2015-01-22,0
2015-03-14,0
2015-05-03,0
2015-06-22,0
2015-09-29,0
2015-11-07,1
2015-11-19,0
2016-01-22,4
2016-02-27,0
2016-04-20,3
2016-06-23,6
2016-07-26,0
2016-10-21,8
2016-11-08,40
2016-12-25,0
2017-03-10,121
2017-04-23,233
2017-05-27,20
2017-08-13,229
2017-10-15,335
2017-10-28,48
2017-12-17,273
2018-02-24,427
2018-03-25,43
2018-05-21,445
2018-07-01,1000
2018-08-19,92
2018-11-06,3139
2018-11-25,223
2019-03-02,89
2019-04-19,24
2019-05-26,3570
2019-06-18,291
2019-08-02,396
