day,usage
2013-01-01,2353
2013-01-14,4255
2013-02-26,340
2013-04-24,5516
2013-06-13,184
2013-09-03,12154
2013-09-12,770
2013-10-29,8061
2014-01-29,70
2014-03-15,16516
2014-05-01,636
2014-06-21,31022
2014-07-16,3781
2014-09-01,24531
2014-10-14,10329
2015-01-06,24260
2015-01-24,1915
2015-03-15,10968
2015-05-11,59128
2015-08-07,163794
2015-08-11,10539
2015-10-05,372
2015-12-31,9992
2016-01-23,80
2016-03-03,6109
2016-05-28,422
2016-06-08,6297
2016-07-31,185
2016-10-29,181
2016-11-03,5911
2017-01-06,3664
2017-03-16,6178
2017-05-07,836
2017-05-23,5536
2017-08-07,11992
2017-09-23,686
2017-11-27,7059
2018-01-10,9279
2018-01-29,4487
2018-03-29,6924
2018-06-18,4699
2018-08-07,11935
2018-08-29,4408
2018-10-06,2387
2018-12-20,13219
2019-01-15,6663
2019-04-01,11646
2019-04-26,7528
2019-07-24,9844
2019-08-02,7430
