day,usage
2013-01-01,2600
2013-01-14,14800
2013-04-01,64104
2013-04-12,16207
2013-07-16,20960
2013-07-21,10915
2013-09-23,1873
2013-10-31,8546
2013-12-19,907
2014-02-22,2957
2014-03-31,8940
2014-05-19,2128
2014-07-15,4686
2014-08-29,1274
2014-10-30,7691
2014-12-03,1061
2015-02-21,3658
2015-04-06,9668
2015-05-03,2351
2015-07-14,4813
2015-08-24,1446
2015-11-02,5826
2015-11-24,872
2016-02-15,1045
2016-04-03,5584
2016-04-18,1995
2016-07-12,3990
2016-09-12,1560
2016-11-02,6132
2016-11-03,18539
2016-12-24,1064
2017-03-12,9841
2017-04-17,1948
2017-06-06,273
2017-08-19,4348
2017-09-11,1467
2017-11-02,7995
2017-12-11,956
2018-03-05,1300
2018-03-29,7702
2018-05-14,1951
2018-08-05,5558
2018-09-27,508
2018-10-27,6593
2018-12-29,16020
2019-01-16,1369
2019-03-28,8351
2019-04-26,2452
2019-07-03,4747
2019-08-02,3242
