day,usage
2013-01-01,7945
2013-01-05,33521
2013-04-09,58921
2013-04-18,9147
2013-06-21,126144
2013-07-21,11208
2013-10-04,3434
2013-10-30,69579
2014-01-21,7332
2014-02-17,62787
2014-04-06,2856
2014-06-06,62539
2014-08-02,1392
2014-09-01,25943
2014-10-30,41225
2015-01-01,13578
2015-02-15,57353
2015-04-07,3707
2015-06-05,72513
2015-06-22,17204
2015-09-17,39479
2015-09-30,13991
2015-12-15,5600
2016-02-14,47985
2016-04-14,80119
2016-04-20,15973
2016-06-20,105099
2016-07-26,12779
2016-10-26,37359
2016-11-09,16127
2017-01-03,1725
2017-02-18,32992
2017-04-07,9172
2017-06-13,50379
2017-07-12,10770
2017-10-18,25777
2017-10-23,11811
2018-01-20,1186
2018-02-03,25165
2018-04-09,10926
2018-06-09,27561
2018-07-22,2513
2018-08-25,1302
2018-10-17,21729
2019-01-01,8043
2019-01-19,26680
2019-03-28,8200
2019-06-11,30476
2019-06-14,52427
2019-08-02,10204
