day,usage
2013-01-01,2846
2013-01-24,8793
2013-02-21,3693
2013-05-14,10434
2013-06-01,3947
2013-07-27,399
2013-09-15,7823
2013-11-25,494
2013-12-29,9762
2014-03-25,545
2014-03-28,7610
2014-05-19,1784
2014-08-07,26826
2014-08-25,8100
2014-10-31,32100
2014-12-09,8456
2015-01-28,20759
2015-03-24,1336
2015-05-04,11213
2015-06-24,15086
2015-08-24,35503
2015-10-01,2568
2015-11-27,16095
2016-02-02,4800
2016-02-29,18969
2016-05-22,3055
2016-06-12,14581
2016-08-13,8410
2016-10-23,27990
2016-11-03,57942
2017-01-05,512
2017-02-14,15941
2017-05-12,816
2017-05-27,12686
2017-08-18,1035
2017-09-10,15800
2017-11-05,2600
2018-01-13,25096
2018-02-09,7900
2018-03-21,14281
2018-06-19,11424
2018-08-13,517
2018-09-10,20549
2018-11-20,37320
2018-11-26,15379
2019-01-13,41226
2019-03-17,6131
2019-04-30,20902
2019-06-12,805
2019-08-02,17008
