day,usage
2013-01-01,1341
2013-02-04,6735
2013-02-24,2226
2013-05-01,5285
2013-07-14,2411
2013-09-04,10074
2013-09-10,3601
2013-12-13,16373
2013-12-25,2719
2014-03-20,9916
2014-04-26,753
2014-06-05,22008
2014-07-23,855
2014-08-25,38078
2014-10-14,6561
2014-12-19,4930
2015-02-09,21059
2015-03-22,40312
2015-06-13,52413
2015-06-22,7606
2015-09-04,25971
2015-09-30,5763
2015-12-12,275
2016-02-08,32579
2016-03-12,692
2016-04-24,45064
2016-06-12,7371
2016-08-29,41875
2016-09-16,7816
2016-11-03,10469
2017-02-01,15299
2017-03-01,1597
2017-04-04,9026
2017-06-04,20367
2017-07-15,340
2017-09-04,15355
2017-10-20,6451
2017-12-28,33
2018-01-30,7127
2018-04-15,26940
2018-05-22,52698
2018-06-27,6943
2018-09-04,14921
2018-10-07,6506
2018-12-25,5296
2019-01-15,2153
2019-04-03,34276
2019-05-22,49273
2019-06-12,9762
2019-08-02,407
