day,usage
2013-01-01,34238
2013-01-02,9128
2013-03-17,24300
2013-05-14,5781
2013-07-04,30090
2013-08-06,2314
2013-09-14,17736
2013-11-04,8538
2013-12-31,39992
2014-02-19,1986
2014-03-29,21077
2014-07-04,68395
2014-07-11,8876
2014-09-13,25395
2014-11-01,1600
2014-12-31,52579
2015-02-24,2000
2015-03-17,33328
2015-05-27,2240
2015-07-06,34775
2015-09-12,1363
2015-10-03,23698
2015-12-21,1836
2016-01-09,19981
2016-03-07,1464
2016-04-23,22520
2016-06-10,765
2016-08-06,26034
2016-09-15,10625
2016-12-22,650
2016-12-31,43314
2017-02-17,2092
2017-04-07,26812
2017-07-08,29806
2017-07-22,7906
2017-09-02,25558
2017-11-07,93
2017-12-31,40148
2018-03-09,2337
2018-03-24,23051
2018-05-23,5409
2018-07-07,33474
2018-08-17,5547
2018-10-06,31847
2018-12-31,42763
2019-02-04,60000
2019-03-04,16889
2019-05-30,677
2019-06-28,51879
2019-08-02,1075
