day,usage
2013-01-01,928
2013-01-03,1825
2013-04-07,2854
2013-04-12,1685
2013-06-19,3268
2013-07-27,1965
2013-09-22,388
2013-11-17,1918
2014-01-12,700
2014-03-26,900
2014-04-13,3836
2014-07-03,799
2014-07-07,4659
2014-09-21,1519
2014-11-01,100
2014-12-17,4583
2015-02-16,0
2015-03-22,4623
2015-05-15,307
2015-07-11,4058
2015-09-26,2179
2015-10-22,482
2015-11-22,2554
2016-01-12,100
2016-02-28,2658
2016-04-19,4888
2016-06-18,529
2016-08-29,4753
2016-10-03,1838
2016-11-03,3346
2016-12-31,400
2017-03-11,4200
2017-04-07,726
2017-07-09,3636
2017-08-07,676
2017-09-22,3320
2017-11-02,200
2018-01-22,3570
2018-03-12,257
2018-04-19,6769
2018-05-15,400
2018-07-17,3939
2018-08-20,2777
2018-11-08,2896
2018-12-06,1000
2019-02-22,1000
2019-04-19,5080
2019-05-23,311
2019-06-14,3777
2019-08-02,3468
