day,usage
2013-01-01,4436
2013-02-14,5695
2013-03-13,16762
2013-05-27,28644
2013-06-01,11411
2013-08-01,14858
2013-09-12,4679
2013-12-11,11208
2013-12-25,4476
2014-03-10,16842
2014-04-03,610
2014-05-26,27545
2014-08-02,857
2014-09-16,12211
2014-10-31,4481
2015-01-04,12457
2015-02-14,6408
2015-04-03,12327
2015-05-27,3051
2015-07-04,41099
2015-08-17,5572
2015-10-24,3579
2015-12-27,11104
2016-02-24,4200
2016-03-16,7977
2016-05-03,330
2016-07-05,10849
2016-07-31,409
2016-11-02,6831
2016-11-19,3222
2016-12-29,7292
2017-02-27,217
2017-05-17,141
2017-06-01,7852
2017-07-24,1743
2017-09-05,4924
2017-10-24,639
2018-01-18,5607
2018-02-24,1494
2018-03-29,4696
2018-05-20,2420
2018-07-05,7968
2018-09-06,2325
2018-11-14,4959
2018-11-24,1454
2019-01-17,132
2019-03-08,3171
2019-06-11,1613
2019-07-05,6444
2019-08-02,6133
