day,usage
2013-01-01,1005
2013-02-04,4068
2013-02-23,1523
2013-05-09,2439
2013-07-05,1356
2013-08-21,3687
2013-09-13,1648
2013-12-10,38
2014-02-03,6723
2014-02-07,2247
2014-05-07,6582
2014-05-31,2451
2014-08-24,5148
2014-09-18,470
2014-11-09,5873
2014-12-21,2000
2015-02-01,4779
2015-03-26,3042
2015-05-30,4729
2015-07-15,2058
2015-08-24,11332
2015-10-17,130
2015-11-21,3384
2016-01-13,454
2016-03-26,5143
2016-04-19,777
2016-06-08,4265
2016-08-19,13547
2016-09-23,821
2016-11-13,8880
2016-12-31,11260
2017-02-11,3281
2017-05-09,1920
2017-07-02,559
2017-07-17,3961
2017-10-14,743
2017-10-20,4272
2018-01-24,1100
2018-01-28,8543
2018-03-25,4821
2018-06-25,878
2018-07-17,5688
2018-09-17,7261
2018-10-10,2783
2018-12-14,7309
2019-01-24,1286
2019-03-16,8012
2019-05-12,5797
2019-06-12,9856
2019-08-02,6483
