day,usage
2013-01-01,6958
2013-01-14,300
2013-02-25,8432
2013-05-15,626
2013-06-03,11004
2013-07-28,6706
2013-10-28,2000
2013-10-29,11263
2014-01-01,2700
2014-03-13,1300
2014-04-07,17304
2014-05-18,1740
2014-08-24,29235
2014-10-13,1133
2014-10-14,20455
2014-12-09,200
2015-01-27,23000
2015-03-22,1400
2015-05-04,20401
2015-07-07,2981
2015-08-11,18628
2015-11-05,200
2015-11-19,17989
2016-02-16,4585
2016-03-06,16934
2016-04-30,3475
2016-06-08,17274
2016-08-24,5554
2016-10-06,27977
2016-11-07,524
2016-12-31,17173
2017-03-26,3262
2017-04-07,15424
2017-06-14,17773
2017-08-24,705
2017-09-01,13613
2017-12-01,14302
2017-12-26,3932
2018-01-29,11402
2018-03-20,7700
2018-05-18,2252
2018-06-29,23928
2018-08-20,9639
2018-11-19,6500
2018-12-06,400
2019-01-16,16118
2019-03-31,226
2019-05-10,18801
2019-06-26,2964
2019-08-02,16282
