day,usage
2013-01-01,2073
2013-01-16,10228
2013-03-16,500
2013-04-23,9551
2013-06-29,2219
2013-08-26,14709
2013-09-14,4708
2013-12-09,13727
2013-12-25,2995
2014-02-10,11011
2014-03-31,4529
2014-06-09,13990
2014-08-02,2461
2014-08-25,21627
2014-10-25,7451
2015-01-20,20745
2015-02-02,5600
2015-04-23,22826
2015-05-03,10660
2015-07-04,5591
2015-09-01,22168
2015-10-10,8533
2015-11-30,16628
2016-01-17,2440
2016-03-03,19071
2016-04-17,9239
2016-06-29,416
2016-08-22,17176
2016-09-27,770
2016-11-08,12169
2017-01-16,3800
2017-03-02,22813
2017-04-02,8325
2017-06-17,336
2017-08-09,18226
2017-09-02,8270
2017-11-19,1009
2017-12-12,11742
2018-03-01,21999
2018-04-23,34661
2018-05-13,8013
2018-08-09,19011
2018-08-19,107873
2018-10-07,9156
2018-12-04,2900
2019-01-24,14210
2019-03-07,29421
2019-05-21,456
2019-06-12,13245
2019-08-02,12404
