day,usage
2013-01-01,0
2013-01-24,1
2013-03-30,2
2013-04-12,0
2013-07-04,2
2013-08-26,4
2013-09-09,0
2013-12-17,0
2014-01-01,12
2014-02-19,185
2014-05-11,3
2014-06-12,4192
2014-07-06,96
2014-09-26,713
2014-11-15,1215
2014-12-09,2
2015-03-11,38
2015-04-18,8405
2015-05-05,275
2015-08-07,15062
2015-08-19,1202
2015-11-07,2686
2015-12-06,5368
2016-01-15,350
2016-03-13,6940
2016-05-26,159
2016-06-09,10988
2016-08-21,66161
2016-09-14,3039
2016-11-11,16933
2016-12-25,175
2017-03-29,19842
2017-04-02,4198
2017-07-09,8792
2017-07-22,1053
2017-10-11,20362
2017-10-24,296
2018-01-24,7685
2018-02-12,48
2018-05-05,4414
2018-06-22,191521
2018-06-29,17727
2018-09-07,31506
2018-10-28,73356
2018-11-24,7027
2019-01-28,600
2019-03-19,55675
2019-04-23,11814
2019-07-07,103441
2019-08-02,23704
