day,usage
2013-01-01,38368
2013-01-22,16600
2013-03-30,5400
2013-04-15,58893
2013-06-21,2667
2013-08-06,73330
2013-09-24,3581
2013-12-01,153430
2014-01-16,43300
2014-03-11,22800
2014-04-02,130450
2014-06-18,15630
2014-07-08,191981
2014-09-16,55667
2014-11-28,30000
2014-12-13,205983
2015-01-23,357843
2015-04-27,8298
2015-05-06,225251
2015-07-03,70799
2015-08-12,247936
2015-10-12,7362
2015-11-24,240366
2016-01-18,4800
2016-02-28,230724
2016-05-22,11068
2016-06-11,286443
2016-07-26,14312
2016-09-17,256322
2016-11-05,6225
2016-12-28,249281
2017-02-17,5900
2017-04-11,245447
2017-05-23,437630
2017-07-18,12650
2017-10-02,308052
2017-10-21,133959
2018-01-22,2500
2018-02-14,265141
2018-04-15,86389
2018-06-19,311298
2018-07-07,77401
2018-09-10,195022
2018-10-11,23549
2019-01-11,246813
2019-01-13,160
2019-03-29,305446
2019-04-29,4397
2019-06-27,326217
2019-08-02,15749
