day,usage
2013-01-01,2422
2013-01-03,3733
2013-03-17,6731
2013-04-27,4315
2013-07-15,1891
2013-07-23,8448
2013-09-21,411
2013-12-02,20163
2014-01-07,2186
2014-02-26,18281
2014-05-03,12659
2014-06-16,786
2014-07-11,22224
2014-09-04,5832
2014-11-09,70
2015-01-04,29415
2015-02-23,1600
2015-03-27,27073
2015-05-16,2772
2015-08-07,34666
2015-09-05,2701
2015-10-03,21426
2015-12-10,2405
2016-02-21,500
2016-02-27,9925
2016-04-23,653
2016-06-08,7423
2016-09-04,6286
2016-09-16,432
2016-11-12,6006
2017-01-05,1592
2017-02-12,5465
2017-04-02,2609
2017-06-23,727
2017-07-17,4564
2017-10-06,3150
2017-10-22,3721
2017-12-16,2444
2018-02-02,4514
2018-05-05,4973
2018-06-23,1710
2018-07-22,12979
2018-08-22,3802
2018-10-19,26257
2018-11-24,3676
2019-02-14,26851
2019-03-05,4017
2019-05-10,10440
2019-06-21,5058
2019-08-02,8086
