day,usage
2013-01-01,308
2013-01-19,124
2013-03-01,397
2013-05-26,168
2013-07-17,14306
2013-07-21,225
2013-10-01,401
2013-11-02,164
2014-01-01,618
2014-03-17,909
2014-03-29,221
2014-07-05,444
2014-07-17,55007
2014-08-25,573
2014-11-02,1069
2015-01-16,1555
2015-02-14,10
2015-04-01,1653
2015-06-20,450
2015-07-17,43836
2015-08-11,628
2015-10-28,1458
2015-12-23,54
2016-01-11,1425
2016-03-19,246
2016-04-26,1315
2016-07-17,19691
2016-07-26,1126
2016-10-10,19
2016-12-01,2231
2017-01-17,193
2017-02-17,1667
2017-04-16,854
2017-07-04,42
2017-07-17,7757
2017-09-03,1120
2017-12-01,3143
2018-01-07,290
2018-02-02,3360
2018-03-25,1647
2018-05-11,2874
2018-07-17,6550
2018-08-26,1929
2018-11-10,504
2018-11-30,3934
2019-01-13,2228
2019-04-16,683
2019-04-24,4413
2019-07-17,6490
2019-08-02,3386
