day,usage
2013-01-01,1294
2013-02-14,5215
2013-03-31,19017
2013-04-12,2539
2013-07-03,1194
2013-08-08,7144
2013-09-27,1837
2013-10-31,55473
2013-12-18,3178
2014-02-14,6031
2014-04-20,20443
2014-05-23,158
2014-07-28,15857
2014-08-25,4783
2014-10-31,59024
2014-12-05,2617
2015-01-24,10587
2015-04-05,19954
2015-05-24,1537
2015-07-02,35538
2015-08-21,238
2015-10-31,49536
2015-11-26,724
2016-01-10,6022
2016-03-27,11008
2016-05-16,752
2016-07-05,16819
2016-07-28,454
2016-11-01,16392
2016-11-06,3857
2017-01-05,373
2017-02-14,8022
2017-04-19,1144
2017-06-25,16500
2017-07-12,3417
2017-09-01,8018
2017-10-31,58590
2017-12-09,3311
2018-03-14,7115
2018-03-25,3316
2018-06-15,18812
2018-06-27,3585
2018-10-04,215
2018-10-31,69260
2018-11-24,3916
2019-02-14,8752
2019-03-22,4588
2019-06-04,33381
2019-06-12,5245
2019-08-02,5106
