day,usage
2013-01-01,7508
2013-01-16,14143
2013-03-02,8180
2013-05-29,12352
2013-07-14,7193
2013-09-08,1016
2013-09-09,10903
2013-10-31,20704
2014-01-05,190
2014-03-09,17663
2014-05-12,3035
2014-05-20,14393
2014-08-07,32955
2014-08-25,3356
2014-10-31,27318
2014-12-31,50536
2015-01-25,1344
2015-04-03,30488
2015-06-09,2749
2015-07-31,58124
2015-08-11,14351
2015-10-29,23432
2015-12-03,867
2016-02-22,30089
2016-04-01,5062
2016-04-29,16931
2016-07-22,4120
2016-08-08,20534
2016-09-28,2126
2016-11-03,14530
2017-01-05,769
2017-02-22,39562
2017-04-07,2123
2017-05-25,13209
2017-08-08,27912
2017-09-29,1975
2017-10-31,18649
2017-12-29,1400
2018-02-22,43869
2018-03-30,2565
2018-05-13,16131
2018-08-08,34997
2018-08-20,14918
2018-10-31,22511
2018-12-31,27408
2019-02-22,68439
2019-03-23,8800
2019-05-19,1841
2019-06-18,25408
2019-08-02,22432
