day,usage
2013-01-01,85
2013-02-12,385
2013-02-23,98
2013-04-29,373
2013-06-07,103
2013-08-16,280
2013-09-14,104
2013-12-17,341
2013-12-25,88
2014-03-27,1324
2014-04-13,109
2014-05-19,528
2014-08-11,654
2014-08-31,230
2014-11-18,2252
2014-12-06,265
2015-01-22,508
2015-05-01,31
2015-06-01,1708
2015-06-26,392
2015-08-24,1210
2015-10-10,526
2015-12-14,752
2016-02-11,0
2016-03-02,667
2016-04-28,19
2016-06-24,1642
2016-08-04,69
2016-09-27,753
2016-11-09,1751
2016-12-24,142
2017-03-14,1207
2017-04-20,10661
2017-05-23,621
2017-07-16,78
2017-10-08,86
2017-11-28,2128
2017-12-16,1166
2018-02-05,2901
2018-04-14,793
2018-06-17,744
2018-08-10,2687
2018-10-03,46
2018-10-11,2365
2018-11-25,65
2019-01-22,1818
2019-03-05,0
2019-05-13,2412
2019-07-31,2169
2019-08-02,63
