day,usage
2013-01-01,150
2013-01-14,638
2013-02-23,167
2013-04-29,542
2013-06-22,172
2013-08-25,732
2013-09-21,248
2013-11-28,272
2014-01-14,1266
2014-02-08,381
2014-04-24,1105
2014-05-17,382
2014-08-11,1177
2014-09-28,15
2014-11-18,2660
2014-12-20,37
2015-01-26,935
2015-05-02,104
2015-06-01,2246
2015-06-27,653
2015-08-26,58
2015-09-30,1504
2015-12-28,580
2016-01-13,1709
2016-04-01,289
2016-05-03,1914
2016-06-25,678
2016-09-11,410
2016-09-21,2242
2016-11-27,1195
2017-01-23,2569
2017-02-19,1432
2017-04-20,12282
2017-05-24,1512
2017-08-06,1394
2017-10-17,3688
2017-11-27,400
2017-12-12,4336
2018-03-16,6713
2018-03-25,2881
2018-05-25,2032
2018-07-03,7455
2018-09-30,359
2018-10-08,5023
2019-01-10,1300
2019-01-15,5004
2019-03-10,10009
2019-05-14,1461
2019-07-17,5851
2019-08-02,178
