day,usage
2013-01-01,840
2013-01-06,1620
2013-02-24,5385
2013-05-26,5580
2013-06-03,1316
2013-08-25,3626
2013-09-24,1080
2013-11-10,3485
2014-01-30,120
2014-02-24,7017
2014-04-01,1845
2014-05-25,7916
2014-07-23,249
2014-09-07,5931
2014-11-23,12522
2014-12-11,27673
2015-01-23,3009
2015-03-29,12037
2015-06-09,737
2015-07-30,15027
2015-08-19,531
2015-10-25,12981
2015-11-19,838
2016-02-14,5377
2016-03-20,11033
2016-05-03,176
2016-07-10,9750
2016-08-02,520
2016-09-18,9870
2016-11-27,10823
2016-12-25,2602
2017-03-26,12490
2017-04-04,3998
2017-05-28,20809
2017-07-13,5157
2017-10-03,153
2017-10-22,9296
2017-12-18,2285
2018-02-18,10650
2018-03-20,4510
2018-05-27,11332
2018-06-27,4042
2018-09-02,8585
2018-10-28,9788
2018-12-10,3061
2019-02-26,4094
2019-04-11,38672
2019-04-23,7945
2019-06-22,263
2019-08-02,7367
