day,usage
2013-01-01,4684
2013-01-22,0
2013-03-31,5019
2013-04-14,1928
2013-06-23,1129
2013-08-29,6762
2013-09-09,2275
2013-11-28,59697
2013-12-19,2526
2014-03-25,322
2014-04-20,7370
2014-05-21,2726
2014-07-24,7940
2014-08-30,3445
2014-11-27,61668
2014-12-03,3850
2015-01-25,6685
2015-04-01,194
2015-05-04,10850
2015-08-06,12611
2015-08-12,4681
2015-10-23,3095
2015-11-26,15530
2016-01-08,3617
2016-03-06,7967
2016-05-05,9055
2016-06-06,3750
2016-08-25,660
2016-09-28,6300
2016-12-17,3642
2016-12-31,115807
2017-02-11,4437
2017-05-14,10302
2017-06-23,705
2017-07-17,4879
2017-10-16,3699
2017-12-05,41096
2017-12-09,3649
2018-03-13,823
2018-04-01,6568
2018-06-16,1603
2018-07-06,4300
2018-09-23,7877
2018-10-31,10465
2018-12-15,400
2019-01-20,4877
2019-04-21,6202
2019-05-31,10080
2019-06-15,4222
2019-08-02,4737
