day,usage
2013-01-01,324
2013-02-10,1859
2013-02-21,330
2013-04-14,571
2013-07-04,1430
2013-07-21,343
2013-09-17,554
2013-11-29,235
2014-01-31,2632
2014-02-06,430
2014-05-01,171
2014-06-12,3724
2014-07-12,60
2014-10-06,769
2014-10-16,423
2014-12-30,878
2015-02-19,2894
2015-03-14,399
2015-05-23,1318
2015-07-04,122
2015-09-03,1058
2015-10-09,390
2015-11-21,797
2016-02-08,2333
2016-02-27,428
2016-04-17,1466
2016-06-23,27
2016-07-27,1329
2016-10-15,34
2016-11-09,956
2017-01-28,2730
2017-02-11,824
2017-04-09,4407
2017-05-29,866
2017-07-17,1792
2017-09-02,1036
2017-11-09,1987
2017-12-25,723
2018-02-16,4206
2018-04-13,145
2018-05-15,1798
2018-07-15,41
2018-09-15,2820
2018-11-10,1581
2018-12-26,18406
2019-01-13,1566
2019-04-14,6550
2019-05-04,2072
2019-07-22,5255
2019-08-02,105
