day,usage
2013-01-01,1242
2013-01-06,3285
2013-03-31,12347
2013-04-12,528
2013-06-02,2435
2013-09-08,2752
2013-09-10,516
2013-12-15,642
2013-12-25,1203
2014-02-06,125
2014-04-20,3027
2014-05-21,198
2014-08-24,1350
2014-08-26,318
2014-11-02,1836
2014-12-24,3747
2015-01-24,152
2015-04-05,5065
2015-05-05,503
2015-08-02,2278
2015-08-13,485
2015-10-04,2210
2015-12-24,4098
2016-01-08,668
2016-03-25,4237
2016-04-19,227
2016-06-12,1698
2016-08-05,55
2016-09-18,1564
2016-12-15,2053
2016-12-27,519
2017-03-17,3
2017-04-16,2853
2017-05-24,518
2017-08-06,1107
2017-08-31,445
2017-11-05,1211
2017-12-24,2805
2018-01-29,485
2018-04-01,2783
2018-05-27,109
2018-07-31,1942
2018-08-21,633
2018-10-07,1159
2018-12-24,3085
2019-01-16,86
2019-04-16,3196
2019-04-24,808
2019-06-23,1353
2019-08-02,835
