day,usage
2013-01-01,5136
2013-01-16,6834
2013-03-02,4265
2013-04-20,10704
2013-06-15,4450
2013-08-11,7260
2013-09-21,5104
2013-11-29,5268
2013-12-31,8833
2014-02-15,6785
2014-04-20,16656
2014-05-23,8645
2014-07-23,619
2014-08-31,15893
2014-11-09,26212
2015-01-11,6356
2015-01-24,14762
2015-03-26,3803
2015-05-05,11888
2015-07-23,2651
2015-08-21,27940
2015-09-30,8510
2015-11-28,25302
2016-01-09,7133
2016-04-01,1561
2016-04-20,12313
2016-07-05,947
2016-07-28,6613
2016-10-03,5200
2016-11-16,6488
2017-01-31,2400
2017-02-12,5577
2017-04-20,9538
2017-05-26,4100
2017-07-13,5090
2017-09-08,969
2017-10-25,4472
2018-01-09,5137
2018-02-05,3414
2018-04-20,5551
2018-05-14,3428
2018-07-12,191
2018-08-27,4463
2018-10-18,4862
2018-12-25,3999
2019-02-10,5952
2019-04-20,7498
2019-05-05,5246
2019-07-30,4407
2019-08-02,7206
