day,usage
2013-01-01,1604
2013-01-05,2765
2013-02-25,3962
2013-05-28,389
2013-06-02,3298
2013-08-23,885
2013-09-15,3835
2013-10-31,2460
2014-01-19,5182
2014-03-03,7096
2014-03-28,4321
2014-07-05,4602
2014-07-24,10176
2014-09-23,4786
2014-11-08,26244
2015-01-10,43039
2015-01-22,9842
2015-04-24,30772
2015-05-16,4629
2015-08-07,38703
2015-08-12,9076
2015-10-16,267
2015-12-19,22381
2016-01-11,3626
2016-02-29,14390
2016-05-30,486
2016-06-06,9632
2016-08-08,476
2016-09-14,8621
2016-11-04,215
2016-12-29,8547
2017-02-18,125
2017-04-02,8382
2017-07-05,290
2017-07-26,8506
2017-09-02,85
2017-10-31,8488
2017-12-26,203
2018-03-17,420
2018-03-27,8890
2018-05-27,5307
2018-07-24,22023
2018-08-19,6890
2018-11-18,6817
2018-12-26,21834
2019-01-13,7102
2019-03-14,23709
2019-05-09,1424
2019-07-18,39156
2019-08-02,7769
