day,usage
2013-01-01,3984
2013-01-16,9461
2013-02-23,6208
2013-05-25,9353
2013-06-01,3385
2013-08-06,12742
2013-09-19,4175
2013-11-28,13893
2013-12-31,4332
2014-02-14,12422
2014-03-28,4238
2014-06-26,14839
2014-07-13,907
2014-09-01,15132
2014-10-25,648
2014-12-25,14541
2015-01-24,8394
2015-04-14,1634
2015-05-12,9738
2015-08-08,13477
2015-09-06,2031
2015-10-31,15008
2015-12-13,219
2016-02-14,9374
2016-03-30,2403
2016-05-09,7260
2016-07-22,173
2016-08-04,5643
2016-10-31,18833
2016-11-05,4376
2016-12-23,417
2017-02-14,9860
2017-04-05,703
2017-06-01,3854
2017-08-04,4811
2017-09-16,3185
2017-10-31,20652
2017-12-14,295
2018-02-10,8891
2018-03-25,3266
2018-05-15,5412
2018-07-14,2767
2018-08-28,4936
2018-10-31,26875
2018-11-24,4301
2019-02-14,11049
2019-03-05,3238
2019-05-29,10043
2019-06-15,5029
2019-08-02,5950
