day,usage
2013-01-01,1728
2013-01-16,2755
2013-03-04,2231
2013-05-11,3547
2013-07-12,4728
2013-08-01,261
2013-10-15,5536
2013-11-01,2142
2013-12-22,62
2014-02-16,3554
2014-04-28,169
2014-06-30,223
2014-07-11,8357
2014-10-05,16192
2014-10-14,3437
2015-01-01,5318
2015-01-23,3443
2015-04-11,9151
2015-05-23,1372
2015-07-14,7317
2015-09-24,18565
2015-09-30,3849
2015-11-24,397
2016-02-25,644
2016-03-29,4487
2016-05-26,155
2016-06-06,3443
2016-09-12,11296
2016-09-15,2860
2016-11-07,833
2016-12-31,3296
2017-02-27,2448
2017-04-29,3106
2017-06-23,333
2017-07-12,3454
2017-09-01,5953
2017-10-20,2230
2017-12-31,2975
2018-03-13,73
2018-03-20,2618
2018-06-26,356
2018-07-10,4069
2018-09-05,2500
2018-11-01,3522
2018-12-31,5035
2019-01-15,555
2019-03-20,5476
2019-05-26,1602
2019-07-09,5969
2019-08-02,4620
