day,usage
2013-01-01,1005
2013-01-03,6277
2013-02-21,1240
2013-05-26,1613
2013-06-02,3154
2013-09-07,9927
2013-09-10,1096
2013-11-02,6654
2013-12-19,973
2014-03-16,6268
2014-04-01,1773
2014-06-04,9148
2014-07-07,825
2014-09-20,10916
2014-11-29,15690
2014-12-03,1543
2015-03-04,8258
2015-03-19,1707
2015-06-04,8871
2015-06-25,2061
2015-09-27,9762
2015-10-04,20561
2015-11-19,1903
2016-02-12,3849
2016-02-29,1707
2016-05-15,5023
2016-06-07,2039
2016-09-04,7409
2016-09-15,1015
2016-11-19,9433
2016-12-25,1762
2017-03-25,9594
2017-04-02,1746
2017-06-28,7770
2017-07-12,1990
2017-09-02,8831
2017-10-23,1943
2017-12-20,4517
2018-01-29,2176
2018-05-04,3452
2018-05-29,905
2018-08-01,3537
2018-09-12,120
2018-10-07,9210
2018-11-29,2539
2019-02-18,9645
2019-03-04,3242
2019-05-26,4882
2019-06-13,3202
2019-08-02,3733
