day,usage
2013-01-01,13416
2013-02-03,24122
2013-02-21,14662
2013-05-24,926
2013-06-04,18005
2013-07-23,7740
2013-09-09,4474
2013-12-10,800
2013-12-25,34290
2014-02-10,4693
2014-04-09,38615
2014-05-28,2633
2014-07-10,34827
2014-09-17,7582
2014-11-09,36155
2014-12-16,3358
2015-02-01,36640
2015-03-24,61448
2015-05-20,14416
2015-06-24,30567
2015-08-26,70497
2015-09-30,21424
2015-12-27,1600
2016-01-08,24646
2016-03-23,74654
2016-04-19,1410
2016-06-06,35031
2016-08-26,72355
2016-09-20,12751
2016-12-18,1500
2016-12-25,38356
2017-02-17,479
2017-04-11,35228
2017-06-03,12920
2017-08-26,45381
2017-09-13,5497
2017-11-01,32092
2018-01-01,218653
2018-01-29,28905
2018-03-23,51235
2018-05-26,5054
2018-07-01,31516
2018-08-26,49466
2018-10-17,17452
2018-12-31,60359
2019-02-21,18271
2019-03-26,5500
2019-05-05,40522
2019-07-27,2445
2019-08-02,37426
