day,usage
2013-01-01,529
2013-01-03,838
2013-03-17,2655
2013-04-13,704
2013-07-13,161
2013-08-05,1579
2013-09-16,459
2013-11-08,250
2014-01-03,1348
2014-03-17,2471
2014-03-29,882
2014-05-21,2614
2014-08-24,2768
2014-08-30,466
2014-11-09,3401
2015-01-12,255
2015-01-27,3005
2015-04-07,215
2015-06-08,4905
2015-08-05,7381
2015-08-20,70
2015-10-31,2190
2015-11-27,1217
2016-02-12,2496
2016-03-03,1303
2016-04-23,4533
2016-07-01,6186
2016-07-26,251
2016-09-18,1825
2016-11-06,3334
2017-01-05,95
2017-03-01,2345
2017-04-12,1186
2017-06-03,3283
2017-08-07,6642
2017-09-04,1776
2017-10-23,94
2017-12-31,2453
2018-02-14,75
2018-04-23,4053
2018-05-14,1622
2018-07-22,762
2018-08-17,2412
2018-10-08,1533
2018-12-16,3536
2019-01-21,1790
2019-04-15,5533
2019-04-25,2419
2019-07-17,3153
2019-08-02,2725
