day,usage
2013-01-01,2507
2013-01-08,43151
2013-02-21,2401
2013-05-28,2136
2013-06-26,5462
2013-08-31,16906
2013-09-10,2602
2013-11-30,23275
2013-12-19,2910
2014-02-08,1274
2014-04-18,9022
2014-07-02,569
2014-07-17,12884
2014-09-01,377
2014-11-30,31317
2014-12-03,5538
2015-02-24,42604
2015-03-22,1870
2015-05-08,18140
2015-07-20,456
2015-08-12,19150
2015-09-30,162
2016-01-01,11312
2016-01-12,36135
2016-03-02,1672
2016-04-19,8222
2016-07-03,88
2016-09-04,10759
2016-09-21,620
2016-11-09,9463
2017-01-10,15716
2017-02-22,147
2017-05-02,6645
2017-05-29,163
2017-08-06,9103
2017-09-19,1009
2017-11-17,15563
2017-12-09,2910
2018-03-01,200
2018-04-03,4226
2018-06-13,6155
2018-07-01,17241
2018-08-17,3275
2018-11-04,6558
2018-12-13,1300
2019-01-13,6036
2019-03-23,359
2019-05-06,8111
2019-06-13,4075
2019-08-02,4113
