day,usage
2013-01-01,0
2013-01-02,0
2013-02-21,0
2013-05-31,0
2013-07-12,22
2013-09-08,3
2013-10-22,353
2013-11-16,166
2014-01-20,460
2014-02-08,237
2014-04-02,467
2014-07-01,802
2014-08-17,1347
2014-09-18,58
2014-11-19,973
2015-01-10,63
2015-03-02,975
2015-03-19,64
2015-05-09,2700
2015-06-24,72
2015-08-25,1025
2015-11-04,2013
2015-12-31,3674
2016-01-08,102
2016-04-06,1030
2016-04-30,27
2016-06-22,1140
2016-07-29,174
2016-09-26,1098
2016-11-11,16
2017-01-03,739
2017-02-27,1610
2017-04-02,489
2017-05-31,824
2017-07-21,1182
2017-10-08,100
2017-11-28,1367
2017-12-30,600
2018-02-09,1147
2018-05-03,332
2018-06-24,815
2018-07-30,15389
2018-08-17,972
2018-10-09,1365
2018-11-24,908
2019-01-17,1617
2019-03-15,5401
2019-04-23,1195
2019-07-28,1011
2019-08-02,1395
