day,usage
2013-01-01,0
2013-01-26,3
2013-02-21,0
2013-05-11,3
2013-06-01,0
2013-08-31,6
2013-09-14,0
2013-11-19,14
2013-12-21,0
2014-03-22,0
2014-05-09,402
2014-05-18,9
2014-08-22,54
2014-10-03,2601
2014-10-15,43
2014-12-24,4009
2015-01-24,20
2015-03-21,19250
2015-05-03,620
2015-07-11,3775
2015-08-11,4
2015-10-08,3216
2015-11-21,393
2016-01-11,26
2016-04-09,17
2016-05-24,686
2016-06-06,30
2016-08-06,149
2016-09-30,0
2016-11-06,161
2016-12-28,13
2017-02-23,71
2017-04-02,13
2017-05-24,610
2017-07-12,30
2017-09-22,74
2017-10-22,21
2017-12-30,142
2018-03-05,643
2018-03-21,18
2018-05-24,567
2018-06-30,35
2018-09-18,248
2018-10-07,26
2018-12-31,135
2019-02-16,50
2019-04-01,1050
2019-04-26,120
2019-06-20,205
2019-08-02,102
