day,usage
2013-01-01,95
2013-01-18,225
2013-03-05,82
2013-04-19,157
2013-06-28,250
2013-07-21,78
2013-09-19,240
2013-12-11,290
2013-12-28,15
2014-02-10,216
2014-04-04,476
2014-06-06,11
2014-08-24,753
2014-08-25,94
2014-11-09,1267
2014-12-05,157
2015-03-08,353
2015-04-15,180
2015-06-03,1408
2015-06-22,202
2015-08-30,315
2015-10-01,570
2015-11-19,172
2016-01-29,38
2016-04-01,213
2016-05-22,104
2016-06-08,348
2016-08-05,10
2016-10-25,428
2016-12-01,147
2017-01-21,496
2017-03-08,2487
2017-04-02,47
2017-06-06,425
2017-08-30,1139
2017-09-06,3671
2017-10-22,270
2017-12-25,58
2018-03-08,3705
2018-03-20,478
2018-06-10,325
2018-08-02,1377
2018-08-19,362
2018-10-11,795
2018-12-16,89
2019-01-31,31
2019-03-08,3915
2019-04-25,151
2019-07-17,1480
2019-08-02,27
