day,usage
2013-01-01,3973
2013-01-04,5089
2013-03-08,6757
2013-04-20,10214
2013-06-27,1078
2013-09-01,31803
2013-10-27,82290
2013-10-29,7782
2014-02-05,952
2014-02-16,8518
2014-05-09,274
2014-05-17,7288
2014-08-07,916
2014-10-01,97587
2014-10-17,1428
2015-01-13,18401
2015-01-24,811
2015-03-21,18691
2015-06-20,820
2015-06-26,13622
2015-09-23,83328
2015-10-04,2467
2015-11-26,32400
2016-01-14,800
2016-03-28,16589
2016-05-13,835
2016-06-14,16247
2016-09-01,45806
2016-10-01,66702
2016-11-03,276
2017-01-06,14661
2017-02-12,1100
2017-04-05,21703
2017-06-26,221
2017-08-23,24160
2017-09-22,58804
2017-10-28,5032
2017-12-18,1100
2018-02-09,6432
2018-03-20,8809
2018-06-23,1911
2018-08-11,4890
2018-10-01,43345
2018-10-05,13416
2018-12-04,1800
2019-03-03,590
2019-03-21,12567
2019-04-23,2062
2019-06-21,7410
2019-08-02,8658
