day,usage
2013-01-01,2413
2013-01-22,5401
2013-04-02,10601
2013-04-16,4223
2013-06-26,8485
2013-09-05,263
2013-09-30,4489
2013-11-01,702
2013-12-24,6210
2014-03-25,482
2014-05-15,18886
2014-05-21,5363
2014-08-24,9039
2014-09-28,2042
2014-11-09,8889
2015-01-10,420
2015-02-03,7004
2015-04-01,11988
2015-05-27,3519
2015-07-09,8450
2015-09-17,4544
2015-11-10,7143
2016-01-03,771
2016-01-10,5695
2016-04-01,11880
2016-05-19,1269
2016-06-18,10696
2016-07-27,1377
2016-09-18,6501
2016-11-16,505
2016-12-31,7950
2017-04-01,2132
2017-04-14,8205
2017-06-08,5758
2017-07-25,8708
2017-10-05,2615
2017-10-29,7397
2018-01-11,580
2018-03-11,14568
2018-03-19,6327
2018-06-18,6032
2018-07-23,1403
2018-08-30,10050
2018-10-29,7695
2018-12-31,12959
2019-02-14,2000
2019-03-07,51466
2019-04-23,9758
2019-07-01,7560
2019-08-02,11301
