day,usage
2013-01-01,5473
2013-01-30,19426
2013-02-28,9494
2013-05-25,30813
2013-06-30,421
2013-09-07,35887
2013-09-10,1096
2013-11-19,9638
2014-01-10,620
2014-03-23,18228
2014-04-21,3613
2014-06-12,100258
2014-07-06,10905
2014-10-12,3492
2014-10-25,39255
2015-01-01,2840
2015-02-08,25788
2015-03-22,50173
2015-06-06,70806
2015-06-23,10372
2015-09-12,33423
2015-10-10,1971
2015-11-21,48932
2016-01-22,4500
2016-04-02,54750
2016-05-05,1552
2016-06-27,60343
2016-08-01,11418
2016-09-24,32633
2016-11-07,1000
2017-01-15,29074
2017-03-13,2300
2017-04-12,35824
2017-06-03,69472
2017-08-09,3128
2017-08-31,36785
2017-10-31,5500
2017-12-23,24014
2018-02-08,540
2018-04-07,34271
2018-06-19,75836
2018-06-29,4486
2018-08-18,25997
2018-10-05,1784
2018-11-24,26350
2019-01-15,12387
2019-03-17,28084
2019-05-02,10838
2019-07-07,28433
2019-08-02,550
