day,usage
2013-01-01,8754
2013-01-08,38626
2013-03-17,298500
2013-04-12,6828
2013-06-16,35438
2013-08-05,86646
2013-09-11,3310
2013-12-02,16129
2013-12-30,1313
2014-03-17,233300
2014-03-28,12359
2014-07-03,59536
2014-07-13,2980
2014-09-01,55825
2014-10-19,6906
2015-01-04,102208
2015-01-25,540
2015-03-18,97300
2015-05-06,10330
2015-06-25,38233
2015-08-17,100
2015-10-18,35301
2015-11-24,5
2016-02-16,202
2016-03-18,84344
2016-04-22,4076
2016-06-06,36909
2016-08-04,1487
2016-10-30,42932
2016-11-03,88
2016-12-31,68509
2017-03-07,600
2017-04-29,51438
2017-06-23,7143
2017-07-14,38304
2017-09-10,2759
2017-10-25,36449
2017-12-31,78273
2018-03-17,168250
2018-03-22,14300
2018-06-12,2865
2018-06-27,45437
2018-09-28,9653
2018-10-05,44800
2018-12-13,4800
2019-02-17,99663
2019-03-14,3960
2019-04-30,80519
2019-06-20,3492
2019-08-02,62679
