day,usage
2013-01-01,1198
2013-02-19,296
2013-03-26,5555
2013-04-15,1255
2013-07-14,4593
2013-07-31,623
2013-09-22,7216
2013-11-19,29745
2013-12-19,1432
2014-03-05,9108
2014-04-16,847
2014-06-20,125450
2014-07-06,4226
2014-09-04,15061
2014-11-06,35857
2014-12-04,2843
2015-02-01,34105
2015-03-14,4012
2015-06-07,11229
2015-07-14,18550
2015-09-06,328
2015-11-14,243252
2015-11-19,5899
2016-02-07,600
2016-03-29,12408
2016-04-19,2427
2016-07-07,142920
2016-07-26,4380
2016-10-07,10393
2016-11-05,3042
2017-01-29,29120
2017-02-13,3597
2017-05-07,49118
2017-05-26,3251
2017-07-14,24883
2017-09-04,4205
2017-12-01,17112
2017-12-09,4398
2018-02-11,8861
2018-04-30,4579
2018-06-16,51127
2018-07-10,237607
2018-08-16,6478
2018-10-16,12328
2018-12-25,4627
2019-02-01,11632
2019-03-19,39197
2019-04-23,7232
2019-06-23,25077
2019-08-02,243
