day,usage
2013-01-01,1026
2013-01-02,1382
2013-03-31,1174
2013-04-20,2985
2013-07-09,430
2013-09-02,2232
2013-09-22,654
2013-10-30,375
2014-01-15,452
2014-03-19,937
2014-04-20,1674
2014-05-21,907
2014-07-21,1689
2014-09-11,1466
2014-11-19,3268
2014-12-03,2273
2015-02-01,3198
2015-04-20,5012
2015-05-03,1526
2015-07-12,685
2015-08-17,1859
2015-11-15,841
2015-12-28,2296
2016-02-05,209
2016-03-11,1244
2016-04-20,2111
2016-06-30,59
2016-08-31,1540
2016-11-01,319
2016-11-23,1567
2016-12-29,516
2017-03-23,851
2017-04-20,1205
2017-06-24,78
2017-07-21,607
2017-10-15,346
2017-11-01,77
2018-01-03,658
2018-03-12,1283
2018-03-19,383
2018-05-24,1506
2018-07-22,190
2018-09-12,961
2018-11-11,334
2019-01-09,1811
2019-01-27,372
2019-03-26,690
2019-06-02,408
2019-07-17,810
2019-08-02,21
