day,usage
2013-01-01,1750
2013-01-16,4176
2013-02-25,1581
2013-05-21,2905
2013-07-05,1487
2013-08-01,6944
2013-09-17,10339
2013-11-01,1981
2014-01-29,12958
2014-02-24,134
2014-05-15,28897
2014-05-17,3736
2014-08-06,24093
2014-09-06,391
2014-11-09,22194
2014-12-18,390
2015-02-20,14353
2015-03-25,5030
2015-06-06,159
2015-06-27,6766
2015-08-23,11925
2015-10-04,1571
2015-12-20,453
2016-01-10,4171
2016-03-14,1825
2016-05-10,3458
2016-06-13,4551
2016-08-13,695
2016-09-17,9524
2016-11-07,2840
2017-02-07,0
2017-03-03,4904
2017-05-13,2037
2017-06-12,5056
2017-07-31,1515
2017-09-12,5610
2017-10-23,3425
2018-01-04,3043
2018-02-27,6091
2018-04-14,511
2018-06-12,6540
2018-07-14,492
2018-09-12,13490
2018-10-07,4230
2018-11-30,9944
2019-01-17,19998
2019-03-04,5988
2019-04-30,7392
2019-08-01,6554
2019-08-02,240
