day,usage
2013-01-01,571
2013-02-06,1586
2013-02-25,506
2013-05-25,5876
2013-06-04,741
2013-08-30,1877
2013-09-09,769
2013-12-06,2517
2014-01-01,200
2014-02-08,1737
2014-05-16,1125
2014-06-16,129788
2014-07-08,295837
2014-08-25,1589
2014-10-15,17488
2014-12-04,986
2015-02-15,3200
2015-04-13,258
2015-06-15,3715
2015-07-01,6289
2015-08-11,1268
2015-11-17,6591
2015-11-19,1199
2016-01-31,3597
2016-02-29,1031
2016-05-31,83
2016-07-02,66208
2016-07-27,662
2016-10-08,2668
2016-12-19,9553
2016-12-25,1239
2017-03-22,4886
2017-04-03,1729
2017-07-02,30791
2017-07-12,2653
2017-09-24,5922
2017-12-01,19247
2017-12-09,2498
2018-02-25,7493
2018-05-07,2806
2018-06-23,97873
2018-06-29,7081
2018-09-06,28067
2018-10-05,4223
2018-12-11,9325
2019-01-13,3315
2019-03-19,38161
2019-04-23,4323
2019-07-28,12929
2019-08-02,190
