day,usage
2013-01-01,4793
2013-02-15,3695
2013-04-05,6020
2013-04-27,4680
2013-07-16,3276
2013-09-01,5932
2013-10-26,70001
2013-11-01,204733
2013-12-18,8038
2014-03-03,1706
2014-05-11,1736
2014-06-13,22065
2014-08-22,1142
2014-10-01,81204
2014-10-15,7160
2014-12-31,33984
2015-01-22,800
2015-03-28,21339
2015-06-10,2141
2015-07-29,38701
2015-09-15,1057
2015-10-30,85600
2015-11-20,70
2016-01-24,28469
2016-04-06,1216
2016-04-20,25788
2016-06-06,4117
2016-08-03,32883
2016-11-01,171874
2016-11-06,2400
2016-12-31,23113
2017-03-14,6165
2017-04-21,674
2017-07-02,1158
2017-07-17,19763
2017-10-01,62073
2017-10-30,130213
2017-12-11,11174
2018-02-23,1200
2018-04-13,15489
2018-05-18,2610
2018-08-13,2793
2018-10-02,39509
2018-11-01,127539
2018-11-24,6300
2019-01-24,6000
2019-03-10,13182
2019-06-10,9123
2019-06-12,15103
2019-08-02,17772
