day,usage
2013-01-01,5991
2013-01-05,1434
2013-03-30,1327
2013-05-24,28992
2013-06-10,4915
2013-07-29,513
2013-09-09,3333
2013-12-14,12026
2013-12-25,1640
2014-03-09,700
2014-05-10,32533
2014-06-07,48323
2014-07-06,3876
2014-08-25,9151
2014-10-25,3443
2015-01-01,18280
2015-02-05,633
2015-04-19,6107
2015-06-06,47765
2015-07-05,4137
2015-08-13,12159
2015-10-04,3771
2015-12-12,15890
2016-01-09,3676
2016-03-27,4538
2016-06-04,39137
2016-06-10,9601
2016-07-27,478
2016-09-24,6510
2016-12-17,16301
2016-12-25,2158
2017-03-01,13180
2017-05-18,24621
2017-05-28,4167
2017-08-20,10149
2017-09-02,2642
2017-10-29,13204
2017-12-11,181
2018-03-01,11141
2018-03-30,4096
2018-05-12,18545
2018-07-22,954
2018-08-16,5833
2018-10-31,100
2018-12-15,12990
2019-02-23,700
2019-04-03,15534
2019-05-30,16876
2019-06-23,6153
2019-08-02,4959
