day,usage
2013-01-01,2090
2013-02-11,4270
2013-03-04,1509
2013-04-30,4120
2013-06-09,636
2013-08-25,5998
2013-09-22,794
2013-11-07,6766
2013-12-30,3122
2014-03-06,139
2014-05-10,24042
2014-06-11,629
2014-07-11,40907
2014-09-01,58349
2014-10-19,884
2015-01-18,28399
2015-01-26,13676
2015-03-27,33336
2015-05-24,2224
2015-07-28,22681
2015-08-18,2204
2015-11-15,500
2015-11-22,11142
2016-01-19,4979
2016-03-21,0
2016-04-21,12572
2016-06-19,385
2016-07-26,7756
2016-09-23,951
2016-11-22,11884
2017-01-25,168
2017-02-13,10923
2017-04-21,1894
2017-06-16,13753
2017-07-14,1716
2017-09-16,10407
2017-11-18,12895
2018-01-04,2120
2018-02-02,9712
2018-05-04,10471
2018-06-18,7732
2018-08-08,152248
2018-08-16,9380
2018-11-12,495
2018-12-31,14923
2019-01-21,9099
2019-04-09,33201
2019-04-23,10190
2019-07-11,16278
2019-08-02,11768
