day,usage
2013-01-01,0
2013-01-02,0
2013-02-21,0
2013-04-12,0
2013-07-20,0
2013-09-06,1
2013-09-09,0
2013-11-24,1
2014-01-03,5
2014-02-07,0
2014-05-04,7
2014-07-05,0
2014-08-24,1420
2014-08-26,1
2014-11-08,603
2014-12-03,0
2015-03-13,1
2015-04-09,777
2015-05-03,75
2015-08-04,72
2015-09-29,2280
2015-10-02,87
2015-11-28,867
2016-01-08,78
2016-03-24,138
2016-04-18,60
2016-07-23,224
2016-08-05,122
2016-10-09,280
2016-11-04,134
2017-01-22,467
2017-02-14,184
2017-05-21,422
2017-05-31,172
2017-07-16,419
2017-09-07,199
2017-12-01,517
2017-12-25,165
2018-02-09,366
2018-05-02,499
2018-05-08,226
2018-08-13,210
2018-09-18,761
2018-10-05,320
2018-12-14,744
2019-02-04,46
2019-03-21,1198
2019-05-02,340
2019-06-12,2549
2019-08-02,571
