day,usage
2013-01-01,1952
2013-02-04,7638
2013-04-06,11683
2013-04-12,3025
2013-07-08,1085
2013-08-21,6306
2013-09-10,2612
2013-11-19,928
2014-02-03,12732
2014-02-07,3440
2014-04-05,12788
2014-05-19,3851
2014-08-23,1494
2014-09-07,6144
2014-11-09,8473
2014-12-04,3609
2015-02-02,6298
2015-04-11,11555
2015-06-09,657
2015-07-09,6201
2015-09-20,923
2015-10-04,5901
2015-12-10,757
2016-02-08,11502
2016-03-01,3344
2016-05-07,6325
2016-06-22,1902
2016-08-09,5478
2016-09-15,3675
2016-11-13,5184
2016-12-27,0
2017-02-17,5721
2017-04-06,18218
2017-05-23,3580
2017-07-28,649
2017-09-02,4586
2017-10-20,792
2017-12-24,6841
2018-03-13,726
2018-04-14,6420
2018-05-08,3915
2018-07-17,5454
2018-08-21,4267
2018-11-10,8653
2018-12-10,5178
2019-02-17,9522
2019-03-26,240
2019-05-04,8989
2019-06-14,323
2019-08-02,6311
