day,usage
2013-01-01,534
2013-01-19,308
2013-03-25,901
2013-04-20,428
2013-07-04,146
2013-08-01,711
2013-09-18,1404
2013-10-31,186
2013-12-31,366
2014-02-07,136
2014-04-24,546
2014-06-28,2193
2014-07-12,55
2014-09-29,981
2014-10-29,104
2014-12-31,1031
2015-02-05,17
2015-03-31,804
2015-05-11,359
2015-07-14,1769
2015-08-16,664
2015-10-15,2062
2015-12-25,37
2016-02-06,1141
2016-03-08,612
2016-05-27,224
2016-06-08,829
2016-07-27,352
2016-10-07,1989
2016-11-03,17
2016-12-31,1142
2017-02-20,456
2017-05-14,227
2017-05-31,741
2017-07-15,368
2017-10-15,680
2017-12-03,27
2017-12-31,671
2018-03-01,756
2018-04-01,145
2018-06-21,22
2018-07-15,906
2018-08-18,289
2018-10-30,180
2018-12-31,901
2019-02-03,220
2019-04-12,1124
2019-05-25,586
2019-06-20,989
2019-08-02,895
