day,usage
2013-01-01,0
2013-02-14,2
2013-02-21,0
2013-05-10,17
2013-06-01,0
2013-08-09,11
2013-09-27,16
2013-11-20,42
2014-01-26,156
2014-02-08,2
2014-05-06,384
2014-05-17,33
2014-07-09,622
2014-08-27,56
2014-10-14,173
2014-12-08,34
2015-03-11,38
2015-03-21,18954
2015-05-03,195
2015-07-07,941
2015-08-15,7758
2015-09-30,208
2016-01-05,25
2016-01-26,7867
2016-02-29,293
2016-05-20,5
2016-07-24,5
2016-08-15,15854
2016-09-15,503
2016-11-26,2566
2017-01-26,20948
2017-02-11,1117
2017-05-17,1336
2017-06-18,22585
2017-08-15,44443
2017-09-02,3383
2017-11-02,1856
2018-01-26,17766
2018-02-10,623
2018-04-14,6139
2018-05-25,1837
2018-08-15,55618
2018-08-18,5307
2018-10-05,47
2018-12-07,53
2019-02-26,83000
2019-03-05,5003
2019-05-23,38797
2019-06-12,6950
2019-08-02,8357
