day,usage
2013-01-01,0
2013-01-02,0
2013-04-11,0
2013-04-24,1
2013-06-01,0
2013-08-12,1
2013-09-09,0
2013-11-22,3
2013-12-23,0
2014-02-14,22
2014-04-02,0
2014-06-11,150
2014-07-09,0
2014-08-25,11
2014-10-14,35
2014-12-05,1
2015-03-13,6
2015-04-09,2507
2015-05-23,7418
2015-07-01,25
2015-09-13,4354
2015-11-16,6114
2015-12-13,12082
2016-01-08,406
2016-03-17,19225
2016-04-18,528
2016-06-22,18904
2016-07-26,802
2016-10-09,1720
2016-11-13,13233
2016-12-23,497
2017-03-17,22522
2017-04-03,752
2017-07-03,813
2017-08-27,26841
2017-08-31,1413
2017-11-14,10394
2017-12-09,874
2018-03-17,29930
2018-03-20,1296
2018-05-26,8249
2018-06-27,1149
2018-09-02,2752
2018-10-07,9717
2018-11-27,1212
2019-02-02,3811
2019-03-17,21470
2019-04-23,1730
2019-07-21,6846
2019-08-02,2258
