day,usage
2013-01-01,1471
2013-02-20,3450
2013-03-17,7782
2013-05-05,11175
2013-06-27,22602
2013-07-21,3299
2013-10-27,10779
2013-11-06,1465
2013-12-25,4797
2014-03-08,1831
2014-05-16,4772
2014-06-14,100775
2014-07-06,9870
2014-09-04,29673
2014-10-15,58532
2014-12-03,5134
2015-02-20,10744
2015-04-13,662
2015-05-05,13893
2015-07-09,483
2015-09-06,9799
2015-10-01,1883
2015-12-03,158
2016-01-27,6240
2016-03-08,32
2016-04-25,6411
2016-06-27,66446
2016-07-27,178
2016-10-06,5497
2016-11-04,2686
2017-01-10,736
2017-03-05,5246
2017-05-13,11461
2017-06-03,16119
2017-07-12,4279
2017-09-02,13558
2017-11-13,30311
2017-12-09,3372
2018-03-04,7329
2018-04-11,10167
2018-06-06,3028
2018-06-27,12350
2018-09-06,26277
2018-10-05,6937
2018-12-11,10388
2019-01-17,4943
2019-03-19,40275
2019-04-23,5813
2019-06-21,13457
2019-08-02,231
