day,usage
2013-01-01,566
2013-01-17,1032
2013-03-05,587
2013-05-28,1980
2013-06-20,2933
2013-07-21,756
2013-10-27,2244
2013-11-20,171
2013-12-31,5193
2014-02-12,100
2014-04-22,3668
2014-06-15,17220
2014-07-07,2024
2014-10-05,7072
2014-10-26,761
2015-01-04,677
2015-02-22,13639
2015-03-14,2411
2015-05-04,569
2015-07-06,8248
2015-09-19,10636
2015-10-01,469
2015-12-16,7734
2016-01-15,200
2016-03-07,15304
2016-04-18,1809
2016-07-05,98
2016-08-22,8456
2016-09-14,2261
2016-11-15,6639
2017-01-07,316
2017-03-12,9162
2017-04-03,2835
2017-06-13,5181
2017-07-29,336
2017-10-08,9151
2017-12-01,13347
2017-12-11,3218
2018-02-17,30584
2018-03-19,3951
2018-06-19,92547
2018-06-28,884
2018-09-08,7608
2018-10-28,1105
2018-12-31,10031
2019-02-01,20853
2019-03-07,4000
2019-05-26,15895
2019-06-27,388
2019-08-02,276
