day,usage
2013-01-01,4871
2013-01-03,9244
2013-03-10,1700
2013-04-15,8422
2013-06-11,13896
2013-07-21,7010
2013-10-15,18229
2013-11-09,11047
2013-12-28,3720
2014-02-10,18594
2014-05-08,820
2014-05-20,20985
2014-08-02,20172
2014-09-24,58434
2014-11-22,4818
2015-01-05,35480
2015-01-23,2500
2015-03-24,29332
2015-06-18,1299
2015-07-02,31293
2015-09-23,34433
2015-10-22,3726
2015-12-02,25280
2016-01-11,14157
2016-04-01,3441
2016-05-13,21474
2016-06-16,5540
2016-08-22,3270
2016-10-31,26255
2016-12-03,2378
2016-12-24,15310
2017-02-14,3683
2017-04-03,14069
2017-05-28,2456
2017-07-13,13004
2017-09-29,3781
2017-10-31,17395
2017-12-20,3600
2018-02-01,12436
2018-04-13,12743
2018-05-12,8520
2018-07-05,434
2018-08-21,10880
2018-10-31,18630
2018-11-24,9828
2019-03-01,10811
2019-04-04,18613
2019-04-27,12305
2019-07-21,5065
2019-08-02,14291
