day,usage
2013-01-01,1263
2013-01-26,2284
2013-03-02,1682
2013-05-25,3866
2013-06-02,1062
2013-08-05,4971
2013-10-27,7150
2013-10-31,1763
2014-01-19,60
2014-03-19,7238
2014-04-24,1101
2014-06-14,8316
2014-08-07,15434
2014-09-16,203
2014-10-31,18654
2014-12-05,3228
2015-01-26,9079
2015-03-25,3404
2015-05-04,407
2015-08-07,12270
2015-08-14,3035
2015-10-19,163
2015-11-22,2573
2016-01-26,5620
2016-02-29,1532
2016-05-03,3885
2016-07-06,343
2016-08-01,2904
2016-10-25,125
2016-11-06,2971
2017-01-20,4332
2017-02-13,2280
2017-05-21,2565
2017-06-12,135
2017-07-25,3039
2017-10-04,3230
2017-11-13,4579
2017-12-09,1856
2018-02-08,9247
2018-03-20,2080
2018-05-15,3614
2018-08-15,514
2018-09-11,18102
2018-10-05,2217
2018-12-31,5542
2019-01-16,2864
2019-04-07,220
2019-04-23,7398
2019-07-06,154
2019-08-02,3785
