day,usage
2013-01-01,842
2013-02-12,2714
2013-02-23,1292
2013-05-25,3037
2013-06-22,620
2013-08-05,3257
2013-09-25,734
2013-10-29,2005
2014-01-18,550
2014-03-04,4585
2014-04-29,393
2014-06-23,11754
2014-07-24,2155
2014-09-01,9356
2014-11-16,600
2014-12-28,6341
2015-02-06,2011
2015-03-27,5807
2015-05-08,3000
2015-07-17,4762
2015-08-13,12385
2015-09-30,2323
2015-12-01,425
2016-02-09,4587
2016-03-13,213
2016-04-24,80209
2016-06-06,2391
2016-08-29,38353
2016-09-14,3359
2016-11-05,26
2016-12-29,4364
2017-03-26,2827
2017-04-30,31902
2017-05-23,3477
2017-07-21,4633
2017-09-16,2808
2017-11-11,5701
2017-12-25,2146
2018-03-13,5604
2018-04-03,2913
2018-05-30,15921
2018-06-27,4692
2018-09-30,27866
2018-10-06,4706
2018-12-31,15782
2019-02-21,2035
2019-04-08,64609
2019-04-24,950
2019-06-21,11608
2019-08-02,8475
