day,usage
2013-01-01,1315
2013-02-04,6430
2013-02-23,1620
2013-05-29,212
2013-06-04,2030
2013-07-27,1376
2013-10-06,2676
2013-11-02,1678
2013-12-31,2689
2014-02-15,100
2014-03-29,3686
2014-06-26,1101
2014-07-09,3613
2014-10-13,7557
2014-10-31,1748
2015-01-06,13508
2015-02-25,20001
2015-03-16,5032
2015-06-02,821
2015-07-16,7888
2015-08-30,1121
2015-11-01,13428
2015-12-27,1051
2016-01-23,11194
2016-03-08,104
2016-04-18,12454
2016-06-07,4219
2016-07-28,14846
2016-09-14,21556
2016-11-04,200
2017-01-11,21769
2017-03-16,534
2017-04-03,16252
2017-06-30,22089
2017-07-18,749
2017-09-12,12701
2017-11-10,1680
2017-12-26,41645
2018-01-31,6600
2018-03-21,14163
2018-06-20,19444
2018-07-31,2969
2018-09-01,29994
2018-10-07,13534
2018-12-30,35814
2019-01-13,14416
2019-04-22,79255
2019-04-29,17249
2019-06-26,44479
2019-08-02,18002
